week_ending,temp_mean
2010-11-07,10.614285714285714
2010-11-14,6.357142857142857
2010-11-21,4.6571428571428575
2010-11-28,0.8857142857142858
2010-12-05,-1.5
2010-12-12,0.1571428571428571
2010-12-19,-0.14285714285714285
2010-12-26,-4.214285714285714
2011-01-02,3.1714285714285713
2011-01-09,2.8714285714285714
2011-01-16,7.871428571428572
2011-01-23,2.685714285714286
2011-01-30,2.485714285714286
2011-02-06,6.357142857142857
2011-02-13,7.442857142857143
2011-02-20,4.771428571428571
2011-02-27,7.242857142857143
2011-03-06,3.5714285714285716
2011-03-13,6.1571428571428575
2011-03-20,6.5
2011-03-27,9.200000000000001
2011-04-03,10.6
2011-04-10,12.042857142857143
2011-04-17,10.185714285714285
2011-04-24,14.2
2011-05-01,11.914285714285715
2011-05-08,12.799999999999999
2011-05-15,11.571428571428571
2011-05-22,12.471428571428572
2011-05-29,12.200000000000001
2011-06-05,13.771428571428572
2011-06-12,11.1
2011-06-19,13.685714285714285
2011-06-26,15.0
2011-07-03,15.12857142857143
2011-07-10,15.942857142857141
2011-07-17,15.214285714285714
2011-07-24,14.62857142857143
2011-07-31,16.057142857142857
2011-08-07,17.67142857142857
2011-08-14,15.885714285714286
2011-08-21,15.0
2011-08-28,14.6
2011-09-04,14.742857142857144
2011-09-11,15.514285714285714
2011-09-18,13.557142857142859
2011-09-25,13.814285714285715
2011-10-02,18.32857142857143
2011-10-09,14.200000000000001
2011-10-16,13.414285714285715
2011-10-23,9.5
2011-10-30,10.985714285714286
2011-11-06,11.728571428571428
2011-11-13,10.214285714285714
2011-11-20,8.857142857142858
2011-11-27,8.785714285714286
2011-12-04,7.014285714285714
2011-12-11,4.885714285714286
2011-12-18,3.5
2011-12-25,7.228571428571428
2012-01-01,8.6
2012-01-08,6.971428571428571
2012-01-15,5.757142857142857
2012-01-22,5.7
2012-01-29,4.6571428571428575
2012-02-05,-0.6142857142857142
2012-02-12,-0.4714285714285715
2012-02-19,6.014285714285714
2012-02-26,8.085714285714285
2012-03-04,8.142857142857142
2012-03-11,7.5
2012-03-18,6.8999999999999995
2012-03-25,9.814285714285715
2012-04-01,9.557142857142859
2012-04-08,6.757142857142857
2012-04-15,6.942857142857143
2012-04-22,7.428571428571429
2012-04-29,8.314285714285715
2012-05-06,8.671428571428573
2012-05-13,10.271428571428572
2012-05-20,9.214285714285714
2012-05-27,16.45714285714286
2012-06-03,14.614285714285714
2012-06-10,12.242857142857144
2012-06-17,12.428571428571429
2012-06-24,13.642857142857142
2012-07-01,16.257142857142856
2012-07-08,16.257142857142856
2012-07-15,14.214285714285714
2012-07-22,15.485714285714286
2012-07-29,17.614285714285717
2012-08-05,15.700000000000001
2012-08-12,16.8
2012-08-19,19.114285714285717
2012-08-26,16.342857142857145
2012-09-02,14.728571428571428
2012-09-09,15.457142857142857
2012-09-16,13.657142857142857
2012-09-23,10.9
2012-09-30,11.328571428571427
2012-10-07,10.757142857142856
2012-10-14,9.271428571428572
2012-10-21,10.214285714285714
2012-10-28,8.885714285714286
2012-11-04,6.385714285714285
2012-11-11,7.028571428571429
2012-11-18,8.2
2012-11-25,7.785714285714286
2012-12-02,3.685714285714286
2012-12-09,3.1999999999999997
2012-12-16,2.242857142857143
2012-12-23,6.8999999999999995
2012-12-30,7.285714285714286
2013-01-06,7.828571428571428
2013-01-13,4.057142857142857
2013-01-20,-0.7000000000000001
2013-01-27,1.3571428571428572
2013-02-03,6.371428571428572
2013-02-10,3.5285714285714285
2013-02-17,3.9285714285714284
2013-02-24,2.085714285714286
2013-03-03,3.6142857142857143
2013-03-10,5.257142857142858
2013-03-17,2.642857142857143
2013-03-24,1.9714285714285715
2013-03-31,1.1857142857142857
2013-04-07,3.242857142857143
2013-04-14,7.742857142857143
2013-04-21,10.085714285714285
2013-04-28,9.471428571428572
2013-05-05,9.62857142857143
2013-05-12,11.414285714285715
2013-05-19,9.342857142857143
2013-05-26,10.142857142857142
2013-06-02,11.5
2013-06-09,13.0
2013-06-16,13.0
2013-06-23,15.12857142857143
2013-06-30,14.114285714285714
2013-07-07,15.957142857142857
2013-07-14,18.62857142857143
2013-07-21,19.685714285714287
2013-07-28,19.728571428571428
2013-08-04,18.857142857142858
2013-08-11,16.32857142857143
2013-08-18,16.414285714285715
2013-08-25,17.271428571428572
2013-09-01,16.285714285714285
2013-09-08,15.271428571428572
2013-09-15,12.357142857142858
2013-09-22,12.414285714285715
2013-09-29,14.657142857142857
2013-10-06,14.685714285714285
2013-10-13,11.87142857142857
2013-10-20,11.885714285714286
2013-10-27,13.357142857142858
2013-11-03,9.457142857142857
2013-11-10,6.6
2013-11-17,6.528571428571429
2013-11-24,4.357142857142857
2013-12-01,5.514285714285714
2013-12-08,6.242857142857143
2013-12-15,7.171428571428572
2013-12-22,6.471428571428571
2013-12-29,5.557142857142857
2014-01-05,6.771428571428571
2014-01-12,6.257142857142857
2014-01-19,6.071428571428571
2014-01-26,5.128571428571428
2014-02-02,4.971428571428572
2014-02-09,6.185714285714285
2014-02-16,5.071428571428571
2014-02-23,7.628571428571428
2014-03-02,6.642857142857143
2014-03-09,7.942857142857143
2014-03-16,7.914285714285714
2014-03-23,8.285714285714286
2014-03-30,7.114285714285714
2014-04-06,11.414285714285715
2014-04-13,9.671428571428573
2014-04-20,8.714285714285714
2014-04-27,11.285714285714286
2014-05-04,10.614285714285714
2014-05-11,11.9
2014-05-18,13.085714285714285
2014-05-25,13.6
2014-06-01,12.728571428571428
2014-06-08,14.242857142857144
2014-06-15,15.985714285714284
2014-06-22,15.828571428571427
2014-06-29,14.985714285714286
2014-07-06,16.1
2014-07-13,16.3
2014-07-20,18.785714285714285
2014-07-27,19.900000000000002
2014-08-03,17.442857142857143
2014-08-10,17.014285714285712
2014-08-17,14.771428571428572
2014-08-24,12.614285714285714
2014-08-31,15.028571428571428
2014-09-07,16.014285714285712
2014-09-14,14.314285714285715
2014-09-21,16.228571428571428
2014-09-28,13.885714285714286
2014-10-05,13.942857142857141
2014-10-12,10.728571428571428
2014-10-19,13.271428571428572
2014-10-26,11.557142857142859
2014-11-02,13.571428571428571
2014-11-09,7.714285714285714
2014-11-16,9.542857142857143
2014-11-23,8.7
2014-11-30,6.928571428571429
2014-12-07,4.314285714285714
2014-12-14,4.257142857142857
2014-12-21,7.628571428571428
2014-12-28,5.642857142857143
2015-01-04,3.914285714285714
2015-01-11,7.185714285714285
2015-01-18,4.428571428571429
2015-01-25,1.7142857142857142
2015-02-01,4.328571428571428
2015-02-08,1.7714285714285716
2015-02-15,4.642857142857143
2015-02-22,4.857142857142857
2015-03-01,6.314285714285715
2015-03-08,6.714285714285714
2015-03-15,6.271428571428571
2015-03-22,5.885714285714286
2015-03-29,6.628571428571428
2015-04-05,8.128571428571428
2015-04-12,9.914285714285715
2015-04-19,9.757142857142856
2015-04-26,9.957142857142857
2015-05-03,8.157142857142857
2015-05-10,11.0
2015-05-17,11.1
2015-05-24,11.114285714285714
2015-05-31,10.87142857142857
2015-06-07,12.37142857142857
2015-06-14,12.671428571428573
2015-06-21,14.242857142857144
2015-06-28,15.457142857142857
